Наименование транзистора|Структура|Pк max, Pк* т max, Pк** и max, мВт|fгр, f* h21б, f** h21э, f*** max,МГц|UКБО max, U* КЭR max, U** КЭО max, В|UЭБО max, В|IК max, I* К,и max, мА|IКБО, I* КЭR, I** КЭО, мкА|h21э, h21Э*|Cк, C12э*, пФ|rКЭ нас, ОмrБЭ* нас, ОмKу,р*, дБ|Kш, дБrб*, ОмPвых*, Вт|tau к, псtрас*, нсtвыкл**, нс
КТ363А|p-n-p|150 (45°C)|>=1200|15* (1к)|4,5|30 (50*)|<=0,5 (15 B)|20...120* (5 В; 5 мА)|<=2 (5 В)|<=35|-|<=50
КТ363Б|p-n-p|150 (45°C)|>=1500|12* (1к)|4,5|30 (50*)|<=0,5 (15 B)|40...120* (5 В; 5 мА)|<=2 (5 В)|<=35|-|<=75
КТ363АМ|p-n-p|150 (45°C)|>=1200|15* (1к)|4,5|30 (50*)|<=0,5 (15 B)|20...120* (5 В; 5 мА)|<=2 (5 В)|<=35|-|<=50
КТ363БМ|p-n-p|150 (45°C)|>=1500|12* (1к)|4,5|30 (50*)|<=0,5 (15 B)|40...120* (5 В; 5 мА)|<=2 (5 В)|<=35|-|<=75
КТ364А-2|p-n-p|30|>=250|25|5|200 (400*)|<=1 (25 B)|20...70* (1 В; 0,1 А)|<=15 (5 В)|<=30|-|<=500; <=150*
КТ364Б-2|p-n-p|30|>=250|25|5|200 (400*)|<=1 (25 B)|40...120* (1 В; 0,1 А)|<=15 (5 В)|<=30|-|<=500; <=180*
КТ364В-2|p-n-p|30|>=250|25|5|200 (400*)|<=1 (25 B)|80...240* (1 В; 0,1 А)|<=15 (5 В)|<=30|-|<=500; <=230*
КТ366А|n-p-n|30 (70°C)|>=1000|15|4,5|10 (20*)|<=0,1 (15 B)|50...200 (1 В; 1 мА)|<=1,1 (0,1 В)|<=80|-|<=60; <=50*
КТ366Б|n-p-n|30 (70°C)|>=1000|15|4,5|20 (40*)|<=0,1 (15 B)|50...200 (1 В; 5 мА)|<=1,8 (0,1 В)|<=25|-|<=60; <=80*
КТ366В|n-p-n|30 (70°C)|>=1000|15|4,5|45 (70*)|<=0,1 (15 B)|50...200 (1 В; 15 мА)|<=3,3 (0,1 В)|<=16|-|<=60; <=120*
КТ368А|n-p-n|225 (65°C)|>=900|15|4|30 (60*)|<=0,5 (15 B)|50...300* (5 В; 10 А)|<=1,7 (5 В)|-|<=3,3 (60 МГц)|<=15
КТ368Б|n-p-n|225 (65°C)|>=900|15|4|30 (60*)|<=0,5 (15 B)|50...300* (5 В; 10 мА)|<=1,7 (5 В)|-|-|<=15
КТ368А-5|n-p-n|225 (65°C)|>=900|15*|4|30 (60*)|0,5 (15 B)|50...450 (1 В; 10 мА)|<=1,7 (5 В)|-|<=3,3 (60 МГц)|<=15 (10 мА)
КТ368А-9|n-p-n|100|>=900|15*|4|30 (60*)|0,5 (15 B)|50...300 (1 В; 10 мА)|<=1,7 (5 В)|-|<=3,3 (60 МГц)|<=15 (10 мА)
КТ368Б-9|n-p-n|100|>=900|15*|4|30 (60*)|0,5 (15 B)|50...300 (1 В; 10 мА)|<=1,7 (5 В)|-|-|<=15 (10 мА)
КТ368АМ|n-p-n|225 (65°C)|>=900|15|4|30 (60*)|<=0,5 (15 B)|50...450* (5 В; 10 мА)|<=1,7 (5 В)|-|<=3,3 (60 МГц)|<=5
КТ368БМ|n-p-n|225 (65°C)|>=900|15|4|30 (60*)|<=0,5 (15 B)|50...450* (5 В; 10 мА)|<=1,7 (5 В)|-|-|<=15
КТ368ВМ|n-p-n|225 (65°C)|>=900|15|4|30 (60*)|<=0,5 (15 B)|100...450* (5 В; 10 мА)|<=1,7 (5 В)|-|-|-
КТ369А|n-p-n|50|>=200|45|4|250 (400*)|<=7 (45 B)|20...100* (2 В; 0,15 А)|<=15 (10 В)|<=4|-|-
КТ369Б|n-p-n|50|>=200|45|4|250 (400*)|<=7 (45 B)|40...200* (2 В; 0,15 А)|<=15 (10 В)|<=4|-|-
КТ369В|n-p-n|50|>=200|65|4|250 (400*)|<=10 (65 B)|20...100* (3 В; 10 мА)|<=10 (10 В)|<=2,5|-|-
КТ369Г|n-p-n|50|>=200|65|4|250 (400*)|<=10 (65 B)|40...200* (3 В; 10 мА)|<=10 (10 В)|<=2,5|-|-
КТ369А-1|л-р-п|50|>=200|45|4|250 (400*)|<=7 (45 B)|20...100* (2 В; 0,15 А)|<=15 (10 В)|<=4|-|-
КТ369Б-1|n-p-n|50|>=200|45|4|250 (400*)|<=7 (45 B)|40...200* (2 В; 0,15 А)|<=15 (10 В)|<=4|-|-
КТ369В-1|n-p-n|50|>=200|65|4|250 (400*)|<=10 (65 B)|20...100* (3 В; 10 мА)|<=10 (10 В)|<=2,5|-|-
КТ369Г-1|n-p-n|50|>=200|65|4|250 (400*)|<=10 (65 B)|40...200* (3 В; 10 мА)|<=10 (10 В)|<=2,5|-|-
КТ370А-1|p-n-p|15|>=1000|15* (1k)|4|15 (30*)|<=0,5 (15 B)|20...70 (5 В; 3 мА)|<=2 (5 В)|<=35|-|<=50; <=10*
КТ370Б-1|p-n-p|15|>=1200|12* (1k)|4|15 (30*)|<=0,5 (12 B)|40...120 (5 В; 3 мА)|<=2 (5 В)|<=35|-|<=50; <=10*
КТ370А-9|p-n-p|30 (50°C)|1000|15* (1k)|4|15 (30*)|<=0,5 (15 B)|20...70 (5 В; 3 мА)|<=2 (5 В)|9,9|-|<=10*
