Наименование транзистора|Структура|Pк max, Pк* т max, Pк** и max, мВт|fгр, f* h21б, f** h21э, f*** max,МГц|UКБО max, U* КЭR max, U** КЭО max, В|UЭБО max, В|IК max, I* К,и max, мА|IКБО, I* КЭR, I** КЭО, мкА|h21э, h21Э*|Cк, C12э*, пФ|rКЭ нас, ОмrБЭ* нас, ОмKу,р*, дБ|Kш, дБrб*, ОмPвых*, Вт|tau к, псtрас*, нсtвыкл**, нс
КТ729А|n-p-n|150* Вт|>=0,2|50|5|30 А|<=2 мА (50 В)|15...60* (4 В; 15 А)|-|<=0,13|-|-
КТ729Б|n-p-n|150* Вт|>=0,2|100|7|20 А|<=5 мА (100 В)|15...60 (4 В; 10 А)|-|<=0,14|-|-
КТ730А|n-p-n|150* Вт|>=0,2|160|7|16 А|<=2 мА (140 В)|15...60* (4 В; 8 А)|-|<=0,17|-|-
КТ801А|n-p-n|5* Вт (55°С)|>=10|80* (0,1 к)|2,5|2 А|10* мА (80 В)|15...50* (5 В; 1 А)|-|<=2|-|-
КТ801Б|n-p-n|5* Вт (55°С)|>=10|60* (0,1 к)|2,5|2 А|10* мА (60 В)|30...150* (5 В; 1 А)|-|<=2|-|-
КТ802А|n-p-n|50* Вт|>=10; >=20|150; 180|3; 5|5 А|<=60мА (150 В)|>=15* (10 В; 2 А)|-|<=1|-|-
КТ803А|n-p-n|60* Вт|>=20|60* (0,1к)|4|10 А|<=5* мА (70 В)|10...70* (10 В; 5 А)|<=250 (20 В)|<=0,5|-|<=190**
КТ805А|n-p-n|30 Вт|>=20|60* (160 имп.)|5|5 (8*) А|<=15* мА (60 В)|>=15* (10 В; 2 А)|-|<=0,5|-|-
КТ805Б|n-p-n|30 Вт|>=20|60* (135 имп.)|5|5 (8*) А|<=15* мА (60 В)|>=15* (10 В; 2 А)|-|<=1|-|-
КТ805АМ|n-p-n|30* Вт (50°С)|>=20|60* (160 имп.)|5|5 (8*) А|<=15* мА (60 В)|>=15* (10 В; 2 А)|-|<=0,5|-|-
КТ805БМ|n-p-n|30* Вт (50°С)|>=20|60* (135 имп.)|5|5 (8*) А|<=15* мА (60 В)|>=15* (10 В; 2 А)|-|<=1|-|-
КТ805ВМ|n-p-n|30* Вт (50°С)|>=20|60* (135 имп.)|5|5 (8*) А|<=15* мА (60 В)|>=15* (10 В; 2 А)|-|<=1,25|-|-
КТ807А|n-p-n|10* Вт (70°С)|>=5|100*|4|0,5; 1,5* А|<=5* мА (100 В)|15...45* (5 В; 0,5 А)|-|<=2|-|-
КТ807Б|n-p-n|10* Вт (70°С)|>=5|100*|4|0,5; 1,5* А|<=5* мА (100 В)|30...100* (5 В; 0,5 А)|-|<=2|-|-
КТ807АМ|n-p-n|10* Вт (70°С)|>=5|100* (1к)|4|0,5 (1,5*) А|<=5* мА (100 В)|15...45* (5 В; 0,5 А) .|-|<=2|-|-
КТ807БМ|n-p-n|10* Вт (70°С)|>=5|100* (1к)|4|0,5 (1,5*) А|<=5* мА (100 В)|30...100* (5 В; 0,5 А)|-|<=2|-|-
КТ808А|n-p-n|50* Вт (50°С)|>=7,2|120* (250 имп.)|4|10А|<=3* мА (120 В)|10...50* (3 В; 6 А)|<=500 (10 В)|-|-|<=2000*
КТ808АЗ|n-p-n|70* Вт|>=8|130|5|10 (15*) А|<=2* мА (130 В)|20...125 (3 В; 2 А)|<=500 (100 В)|-|-|<=2000*
КТ808БЗ|n-p-n|70* Вт|>=8|100|5|10 (15*) А|<=2* мА (100 В)|20...125 (3 В; 2 А)|<=500 (100 В)|-|-|<=2000*
КТ808АМ|n-p-n|60* Вт (50°С)|>=8|130* (250 имп.)|5|10 А|<=2* мА (120 В)|20...125* (3 В; 2 А)|<=500 (100 В)|<=0,33|-|<=2000*
КТ808БМ|n-p-n|60* Вт (50°С)|>=8|100* (160 имп.)|5|10 А|<=2* мА (100 В)|20...125* (3 В; 2 А)|<=500 (100 В)|<=0,33|-|<=2000*
КТ808ВМ|n-p-n|60* Вт (50°C)|>=8|80* (135 имп.)|5|10 А|<=2* мА (100 В)|20...125* (3 В; 2 А)|<=500 (100 В)|<=0,33|-|<=2000*
КТ808ГМ|n-p-n|60* Вт (50°C)|>=8|70* (80  имп.)|5|10 А|>=2* мА (70 В)|20...125* (3 В; 2 А)|<=500 (100 В)|<=0,33|-|<=2000*
КТ809А|n-p-n|40* Вт (50°С)|>=5,1|400* (0,01к)|4|3 А; 5* А|<=3* мА (400 В)|15...100* (5 В; 2 А)|<=150 (20 В)|<=0,75|-|<=4000*
КТ8101А|n-p-n|2 Вт; 150* Вт|>=10|200|6|16 А (25* А)|<=1 мА (200 В)|>=20* (10 В; 2 А)|<=1000 (5 В)|<=3,3|-|-
КТ8101Б|n-p-n|2 Вт; 150* Вт|>=10|160|6|16 А (25* А)|<=1 мА (160 В)|>=20* (10 В; 2 А)|<=1000 (5 В)|<=3,3|-|-
КТ8102А|p-n-p|2 Вт; 150* Вт|>=10|200|6|16 А (25* А)|<=1 мА (200 В)|>=20* (10 В; 2 А)|<=1000 (5 В)|<=3,3|-|-
КТ8102Б|p-n-p|2 Вт; 150* Вт|>=10|160|6|16 А (25* А)|<=1 мА (180 В)|>=20* (10 В; 2 А)|<=1000 (5 В)|<=3,3|-|-
КТ8104А|p-n-p|150 Вт|>=10|350|5|20 А (25 А*)|<=0,7 мА (350 В)|1000 (5 В; 5 А)|-|<=0,2|-|-
КТ8105А|n-p-n|150 Вт|>=10|200|5|20 А (25 А*)|<=0,7 мА (350 В)|>=1000(5 В; 5 А)|-|<=0,2|-|-
КТ8106А|n-p-n|2 Вт; 125* Вт|>=1|90*|5|20 А (30* А)|-|750...18000 (10 В; 5 А)|<=700 (10 В)|<=0,4|-|<=4500**
КТ8106Б|n-p-n|2 Вт; 125* Вт|>=1|60|5|20 А (30* А)|-|750...18000 (10 В; 5 А)|<=700 (10 В)|<=0,4|-|<=4500**
КТ8107А|n-p-n|100* Вт|>=7|1500 (700*)|5|8 А (15* А)|<=0,7 мА (1500 В)|>=2,25* (5 В; 4,5 А)|-|<=0,22|-|<=3500*
КТ8107Б|n-p-n|125* Вт|>=7|1500 (700*)|5|5 А (7,5* А)|<=0,7 мА (1500 В)|>=2,25* (5 В; 4,5 А)|-|<=0,65|-|<=3500*
КТ8107В|n-p-n|50* Вт|>=7|1500 (600*)|5|5 А (8* А)|<=0,7 мА (1500 В)|8...12* (5 В; 1 А)|-|<=0,22|-|<=3500*
КТ8107Г|n-p-n|100 Вт|>=7|1500|6|10 А|<=0,7 мА (1500 В)|-|-|<=0,22|-|-
КТ8107Д|n-p-n|100 Вт|>=7|1200|6|10 А|<=0,7 мА (1200 В)|-|-|<=0,4|-|-
КТ8107Е|n-p-n|100 Вт|>=7|1000|6|10 А|<=0,7 мА (1000 В)|-|-|<=0,4|-|-
КТ8107А2|n-p-n|100* Вт|>=7|1500 (700*)|5|8 А (15* А)|<=0,7 мА (1500 В)|>=2,25* (5 В; 4,5 А)|-|<=0,22|-|<=3500*
КТ8107Б2|n-p-n|125* Вт|>=7|1500 (700*)|5|5 А (7,5* А)|<=0,7 мА (1500 В)|>=2,25* (5 В; 4,5 А)|-|<=0,65|-|<=3500*
КТ8107В2|n-p-n|50* Вт|>=7|1500 (600*)|5|5 А (8* А)|<=0,7 мА (1500 В)|8...12* (5 В; 1 А)|-|<=022|-|<=3500*
КТ8107Г2|n-p-n|100* Вт|>=7|1500|6|10 А|<=0,7 мА (1500 В)|-|-|<=0,22|-|-
КТ8107Д2|n-p-n|100* Вт|>=7|1200|6|10 А|<=0,7 мА (1200 В)|-|-|<=0,4|-|-
КТ8107Е2|n-p-n|100* Вт|>=7|1000|6|10 А|<=0,7 мА (1000 В)|-|-|<=0,4|-|-
КТ8108А|n-p-n|70* Вт|>=15|850|5|5 (7*)|0,5 мА (850 В)|10...50 (5 В; 0,5 А)|<=75 (15 В)|<=0,4|-|<=3000*
КТ8108Б|n-p-n|70* Вт|>=15|850|5|5 (7*)|0,5 мА (850 В)|30 (5 В; 0,5 А)|<=75 (15 В)|<=0,4|-|<=3000*
КТ8108В|n-p-n|70* Вт|>=15|900|5|5 (7*)|0,5 мА (900 В)|10...50 (5 В; 0,5 А)|<=75 (15 В)|<=0,4|-|<=3000*
КТ8108А-1|n-p-n|70* Вт|15|850|5|5 (7*) А|<=0,5 мА (850 В)|10...50* (5 В; 0,5 А)|<=75 (5 В)|<=0,4|-|3* мкс
КТ8108Б-1|n-p-n|70* Вт|15|850|5|5 (7*) А|<=0,5 мА (850 В)|40...80* (5 В; 0,5 А)|<=75 (5 В)|<=0,4|-|3* мкс
КТ8108В-1|n-p-n|70* Вт|15|900|5|5 (7*) А|<=0,5 мА (850 В)|10...50* (5 В; 0,5 А)|<=75 (5 В)|<=0,4|-|3* мкс
КТ8109А|n-p-n|80* Вт|>=7|350|5|7 А (10* А)|<=3 мА (350 В)|>=150* (5 В; 2,5 А)|-|<=0,75|-|<=3* мкс
КТ8109Б|n-p-n|80* Вт|>=7|300|5|7 А (10* А)|<=3 мА (300 В)|>=150* (5 В; 2,5 А)|-|<=0,75|-|<=3* мкс
КТ8110А|n-p-n|2 Вт; 60* Вт|>=20|500|5|7 А (14* А)|<=1000 (500 В)|15...30* (5 В; 0,8 А)|-|<=0,2|-|<=2500*
КТ8110Б|n-p-n|2 Вт; 60* Вт|>=20|500; 400**|5|7 А (14* А)|<=100 (400 В)|15...30* (5 В; 0,8 А)|-|<=0,2|-|<=2500*
КТ8110В|n-p-n|2 Вт; 60* Вт|>=20|500; 350**|5|7 А (14* А)|<=100 (400 В)|15...30* (5 В; 0,8 А)|-|<=0,2|-|<=2500*
КТ8112А|n-p-n|1 Вт; 10* Вт|>=20|400* (1к)|5|0,5 А (1,5* А)|-|>=300 (5 В; 0,05 А)|-|<=40|-|-
КТ8114А|n-p-n|125* Вт|-|1500*|6|8 А; 15* А|<=0,1 мА (1500 В)|8...40* (5 В; 0,7 А)|-|<=0,25|-|tcn=0,5 мкс
КТ8114Б|n-p-n|125* Вт|-|1200*|6|8 А; 15* А|<=0,1 мА (1200 В)|>=6* (5 В; 0,03 А)|-|<=0,25|-|tcn=0,5 мкс
KT8114B|n-p-n|100* Вт|-|1200*|6|8 А; 15* А|<=0,1 мА (1200 В)|>=6* (5 В; 0,03 А)|-|<=0,25|-|tcn=0,5 мкс
КТ8114Г|n-p-n|100* Вт|-|1500*|6|8 А; 15* А|<=0,1 мА (1500 В)|8...40* (5 В; 0,7 А)|-|<=0,25|-|tcn=0,5 мкс
KT8115A|p-n-p|65* Вт|>=4|100|5|8 (16*) А|<=0,2 мА (100 В)|>=1000* (3 В; 0,5...3 А)|-|<=0,7|-|-
КТ8115Б|p-n-p|65* Вт|>=4|80|5|8 (16*) А|<=0,2 мА (80 В)|>=1000* (3 В; 0,5...3 А)|-|<=0,7|-|-
КТ8115В|p-n-p|65* Вт|>=4|60|5|8 (16*) А|<=0,2 мА (60 В)|>=1000* (3 В; 0,5...3 А)|-|<=0,7|-|-
КТ8116А|n-p-n|65* Вт|>=4|100|5|8 А (16* А)|<=200 (100 В)|>=1000* (3 В; 0,5 А)|-|<=0,7|-|-
КТ8116Б|n-p-n|65* Вт|>=4|80|5|8 А (16* А)|<=200 (80 В)|>=1000* (3 В; 0,5 А)|-|<=0,7|-|-
КТ8116В|n-p-n|65* Вт|>=4|60|5|8 А (16* А)|<=200 (60 В)|>=1000* (3 В; 0,5 А)|-|<=0,7|-|-
КТ8117А|n-p-n|100* Вт|>=5|700|8|10 (20*) А|<=1 мА (400 В)|>=10* (5 В; 5 А)|-|<=0,3|-|<=1,7* мкс
КТ8117Б|n-p-n|100* Вт|>=5|500|8|10 (20*) А|<=1 мА (400 В)|>=10* (5 В; 5 А)|-|<=0,3|-|<=1,7* мкс
KT8118A|n-p-n|50* Вт|>=15|900|5|3 А (10* А)|<=10 (800 В)|10...40* (5 В; 0,2 А)|-|<=1,3|-|<=2,5* мкс
КТ812А|n-p-n|50* Вт (50°С)|>=3|400* (0,01 к)|7|8 А; 12* А|<=5* мА (700 В)|>=4* (2,5 В; 8 А)|<=100 (100 В)|<=0,3|-|tcn<=l,3 мкс
КТ812Б|n-p-n|50* Вт (50°С)|>=3|300* (0,01 к)|7|8 А; 12* А|<=5* мА (500 В)|>=4* (2,5 В; 8 А)|<=100 (100 В)|<=0,3|-|tcn<=l,3 мкс
КТ812В|n-p-n|50* Вт (50°С)|>=3|200* (0,01 к)|7|8 А; 12* А|<=5* мА (300 В)|>=10 (5 В; 5 А)|<=100 (100 В)|<=0,3|-|tcn<=l,3 мкс
КТ8120А|n-p-n|60* Вт|>=20|600; 450**|5|8 А (16* А)|<=100 (450 В)|>=10* (5 В; 0,2 А)|-|<=0,25|-|<=2* мкс
КТ8121А|n-p-n|75* Вт|>=7|1500; 700*; 400**|5|8 А (10* А)|<=2000 (700 В)|8...60* (5 В; 2 А)|-|<=0,25|-|<=3* мкс
КТ8121Б|n-p-n|75* Вт|>=7|1500; 600*; 400**|5|8 А (10* А)|<=2000 (600 В)|8...60* (5 В; 2 А)|-|<=0,75|-|<=3* мкс
КТ8121А-1|n-p-n|75* Вт|>=7|1500; 700*|5|8 А (10* А)|<=2000 (700 В)|8...60* (5 В; 2 А)|-|<=0,25|-|<=3* мкс
КТ8121Б-1|n-p-n|75* Вт|>=7|1500; 600*|5|8 А (10* А)|<=2000 (600 В)|8...60* (5 В; 2 А)|-|<=0,75|-|<=3* мкс
КТ8121А-2|n-p-n|75* Вт|>=7|1500; 700*|5|8 А (10* А)|<=2000 (700 В)|8...60* (5 В; 2 А)|-|<=0,25|-|<=3* мкс
КТ8121Б-2|n-p-n|75* Вт|>=7|1500; 600*|5|8 А (10* А)|<=2000 (600 В)|8...60* (5 В; 2 А)|-|<=0,75|-|<=3* мкс
КТ8123А|n-p-n|25* Вт|>=5|200|5|2 А (3* А)|<=50 (150 В)|>=40* (10 В; 0,4 А)|-|<=2|-|-
КТ8124А|n-p-n|60* Вт|>=10|400|5|7 А (15* А)|-|>=10* (5 В; 5 А)|-|<=0,2|-|<=1,5* мкс
КТ8124Б|n-p-n|60* Вт|>=10|400|5|7 А (15* А)|-|>=10* (5 В; 5 А)|-|<=0,17|-|<=1,3* мкс
КТ8124В|n-p-n|60* Вт|>=10|330|5|7 А (15* А)|-|>=10* (5 В; 5 А)|-|<=0,2|-|<=1,5* мкс
КТ8125А|n-p-n|65* Вт|>=3|100|5|6 (10*) А|<=0,4 мА (100 В)|15...75* (4 В; 3 А)|-|<=0,25|-|-
КТ8125Б|n-p-n|65* Вт|>=3|80|5|6 (10*) А|<=0,4 мА (80 В)|15...75* (4 В; 3 А)|-|<=0,25|-|-
КТ8125В|n-p-n|65* Вт|>=3|60|5|6 (10*) А|<=0,4 мА (60 В)|15...75* (4 В; 3 А)|-|<=0,25|-|-
КТ8126А1|n-p-n|80* Вт|>=4|700; 400**|9|8 (16*) А|<=1 мА (700 В)|8...60* (5 В; 2 А)|-|<=0,5|-|1,7* мкс
КТ8126Б1|n-p-n|80* Вт|>=4|600; 300**|9|8 (16*) А|<=1 мА (600 В)|8...60* (5 В; 2 А)|-|<=0,5|-|1,7* мкс
КТ8127А|n-p-n|56* Вт|-|1500* (100 Ом)|5|5 (7,5*) А|<=0,9 мА (1500* В)|35* (5 В; 0,5 А)|-|<=0,22|-|tcп=0,7 мкс
КТ8127Б|n-p-n|56* Вт|-|1200* (100 Ом)|5|5 (7,5*) А|<=0,6 мА (1800* В)|35* (5 В; 0,5 А)|-|<=1,1|-|tcп=0,7 мкс
КТ8127В|n-p-n|56* Вт|-|1500* (100 Ом)|5|5 (7,5*) А|<=0,9 мА (1500* В)|35* (5 В; 0,5 А)|-|<=1,1|-|tcп=0,7 мкс
КТ8127А-1|n-p-n|56* Вт|-|1500* (100 Ом)|5|5 (7,5*) А|<=0,9 мА (1500* В)|<=35* (5 В; 0,5 А)|-|<=0,22|-|tcп=0,7 мкс
КТ8127Б-1|n-p-n|56* Вт|-|1200* (100 Ом)|5|5 (7,5*) А|<=0,6 мА (1800* В)|<=6* (5 В; 0,03 А)|-|<=1,1|-|tcп=0,7 мкс
КТ8127В-1|n-p-n|56* Вт|-|1500* (100 Ом)|5|5 (7,5*) А|<=0,9 мА (1500* В)|<=6* (5 В; 0,03 А)|-|<=1,1|-|tcп=0,7 мкс
КТ8129А|n-p-n|60* Вт|>=4|1500|5|5 А|-|>=2,25* (5 В; 4,5 А)|-|<=1,1|-|-
КТ8130А|p-n-p|1 Вт; 20* Вт|>=25|40|5|4 А; 8* А|<=100 (40 В)|750...15000* (3 В; 0,2 А)|<=200 (10 В)|<=1|-|-
КТ8130Б|p-n-p|1 Вт; 20* Вт|>=25|60|5|4 А; 8* А|<=100 (60 В)|750...15000* (3 В; 0,2 А)|<=200 (10 В)|<=1|-|-
КТ8130В|p-n-p|1 Вт; 20* Вт|>=25|80|5|4 А; 8* А|<=100 (80 В)|750...15000* (3 В; 0,2 А)|<=200 (10 В)|<=1|-|-
КТ8131А|n-p-n|1 Вт; 20* Вт|>=25|40|5|4 А; 8* А|<=100 (40 В)|750... 15000* (3 В; 0,2 А)|<=100 (10 В)|<=1|-|-
КТ8131Б|n-p-n|1 Вт; 20* Вт|>=25|60|5|4 А; 8* А|<=100 (60 В)|750... 15000* (3 В; 0,2 А)|<=100 (10 В)|<=1|-|-
КТ8131В|n-p-n|1 Вт; 20* Вт|>=25|80|5|4 А; 8* А|<=100 (80 В)|750...15000* (3 В; 0,2 А)|<=100 (10 В)|<=1|-|-
КТ8136А|n-p-n|60* Вт|-|600|5|10А (15 А*)|-|10...50* (5 В; 0,8 А)|-|<=0,25|-|tCП<=0,2 мкс
КТ8137А|n-p-n|40* Вт|>=4|700*|9|1,5 А (3 А*)|<=1 мА (700 В)|8...40* (2 В; 0,5 А)|-|<=2|-|<=4* мкс
КТ8138А|n-p-n|50* Вт|20|500; 400**|7|7 А; 14* А|<=0,01 мА (500 В)|>=10* (5 В; 4 А)|-|<=0,2|-|<=2,5* мкс
КТ8138Б|n-p-n|40* Вт|-|450 400**|10|7 А; 14* А|<=0,1 мА (450 В)|>=10* (5 В; 4 А)|-|<=0,2|-|<=2,5* мкс
КТ8138В|n-p-n|75* Вт|>=4|700; 400**|9|4 А; 8* А|<=1 мА (700 В)|8...40* (5 В; 2 А)|-|<=0,25|-|<=4* мкс
КТ8138Г|n-p-n|80* Вт|>=4|700; 400**|9|8 А; 16* А|<=1 мА (700 В)|5...30* (5 В; 5 А)|-|<=0,4|-|<=3* мкс
КТ8138Д|n-p-n|60* Вт|>=10|400; 200**|6|7 А; 14* А|<=1 мА (400 В)|>=10* (5 В; 5 А)|-|<=0,2|-|tсп<=0,75 мкс
КТ8138Е|n-p-n, с диодом|60* Вт|>=10|400; 200**|6|7 А; 14* А|<=1 мА (400 В)|>=10* (5 В; 5 А)|-|<=0,2|-|tсп<=0,75 мкс
КТ8138Ж|n-p-n|60* Вт|>=10|600; 350**|6|10 А; 16* А|<=1 мА (600 В)|>=20* (5 В; 2 А)|-|<=0,4|-|tсп<=0,7 мкс
КТ8138И|n-p-n, с диодом|80* Вт|>=4|700; 400**|9|8 А; 16* А|<=1 мА (700 В)|5...30* (5 В; 5 А)|-|<=0,25|-|<=3* мкс
КТ8140А|n-p-n|60* Вт|>=10|400|6|7 А (10 А*)|<=1 (400 В)|>=10* (5 В; 5 А)|-|<=0,2|-|-
КТ8141А|n-p-n|60* Вт|>=7|100|-|8 А (12* А)|<=0,2 (100 В)|>=750* (3 В; 3 А)|<=120 (5 В)|<=0,66|-|5,8** мкс
КТ8141Б|n-p-n|60* Вт|>=7|80|-|8 А (12* А)|<=0,2 (80 В)|>=750* (3 В; 3 А)|<=120 (5 В)|<=0,66|-|5,8** мкс
КТ8141В|n-p-n|60* Вт|>=7|60|-|8 А (12* А)|<=0,2 (60 В)|>=750* (3 В; 3 А)|<=120 (5 В)|<=0,66|-|5,8** мкс
КТ8141Г|n-p-n|60* Вт|>=7|45|-|8 А (12* А)|<=0,2 (45 В)|>=750* (3 В; 3 А)|<=120 (5 В)|<=0,66|-|5,8** мкс
КТ814А|p-n-p|1 (10*) Вт|>=3|40* (0,1 к)|5|1,5 (3*) А|<=0,05 мА (40 В)|>=40* (2 В; 0,15 А)|<=60 (5 В)|<=1,2|-|-
КТ814Б|p-n-p|10* Вт|>=3|50* (0,1 к)|5|1,5 (3*) А|<=0,05 мА (40 В)|>=40* (2 В; 0,15 А)|<=60 (5 В)|<=1,2|-|-
КТ814В|p-n-p|10* Вт|>=3|70* (0,1 к)|5|1,5 (3*) А|<=0,05 мА (40 В)|>=40* (2 В; 0,15 А)|<=60 (5 В)|<=1,2|-|-
КТ814Г|p-n-p|10* Вт|>=3|100* (0,1 к)|5|1,5 (3*) А|<=0,05 мА (40 В)|>=30* (2 В; 0,15 А)|<=60 (5 В)|<=1,2|-|-
КТ8143А|n-p-n|175* Вт|-|120; 90**|6|25 А; 40* А|<=5* мА (90 В)|>=15* (3 В; 20 А)|-|<=0,08|-|1300*
КТ8143Б|n-p-n|175* Вт|-|120**|6|25 А; 40* А|<=5* мА (120 В)|>=15* (3 В; 20 А)|-|<=0,08|-|1300*
КТ8143В|n-p-n|175* Вт|-|180**|6|25 А; 40* А|<=5* мА (180 В)|>=15* (3 В; 20 А)|-|<=0,08|-|1300*
КТ8143Г|n-p-n|175* Вт|-|400; 240**|6|25 А; 40* А|<=5* мА (400 В)|>=15* (3 В; 20 А)|-|<=0,08|-|1300*
КТ8143Д|n-p-n|175* Вт|-|90**|6|32 А; 50* А|<=5* мА (90 В)|>=15* (3 В; 20 А)|-|<=0,08|-|1300*
КТ8143Е|n-p-n|175* Вт|-|120**|6|32 А; 50* А|<=5* мА (120 В)|>=15* (3 В; 32 А)|-|<=0,08|-|1300*
КТ8143Ж|n-p-n|175* Вт|-|180**|6|32 А; 50* А|<=5* мА (180 В)|>=15* (3 В;32 А)|-|<=0,08|-|1300*
КТ8143З|n-p-n|175* Вт|-|400; 240**|6|32 А; 50* А|<=5* мА (400 В)|>=15* (3 В; 32 А)|-|<=0,08|-|1300*
КТ8143И|n-p-n|175* Вт|-|120; 90**|6|40 А; 63* А|<=5* мА (90 В)|>=15* (3 В; 32 А)|-|<=0,08|-|1300*
КТ8143К|n-p-n|175* Вт|-|120**|6|40 А; 63* А|<=5* мА (120 В)|>=15* (3 В; 32 А)|-|<=0,08|-|1300*
КТ8143Л|n-p-n|175* Вт|-|180**|6|40 А; 63* А|<=5* мА (180 В)|>=15* (3 В; 35 А)|-|<=0,08|-|1300*
КТ8143М|n-p-n|175* Вт|-|400; 240**|6|40 А; 63* А|<=5* мА (400 В)|>=15* (3 В; 35 А)|-|<=0,08|-|1300*
КТ8143Н|n-p-n|175* Вт|-|100**|6|50 А; 125* А|<=5* мА (100 В)|>=15* (3 В; 35 А)|-|<=0,08|-|1300*
КТ8143П|n-p-n|175* Вт|-|150**|6|50 А; 125* А|<=5* мА (150 В)|>=15* (3 В; 35 А)|-|<=0,08|-|1300*
КТ8143Р|n-p-n|175* Вт|-|400; 200**|6|50 А; 125* А|<=5* мА (400 В)|>=15* (3 В; 35 А)|-|<=0,08|-|1300*
КТ8143С|n-p-n|175* Вт|-|90**|6|63 А; 150* А|<=5* мА (90 В)|>=15* (3 В; 35 А)|-|<=0,08|-|1300*
КТ8143Т|n-p-n|175* Вт|-|120**|6|63 А; 150* А|<=5* мА (120 В)|>=15* (3 В; 40 А)|-|<=0,08|-|1700*
КТ8143У|n-p-n|175* Вт|-|180**|6|63 А; 150* А|<=5* мА (180 В)|>=15* (3 В; 40 А)|-|<=0,08|-|1700*
КТ8143Ф|n-p-n|175* Вт|-|400; 240**|6|63 А; 150* А|<=5* мА (400 В)|>=15* (3 В; 40 А)|-|<=0,08|-|1700*
КТ8144А|n-p-n|175* Вт|>=5|800|8|25 А (40* А)|1 мА (800 В)|>=4* (5 В; 20 А)|-|<=0,25|-|<=2,5* мкс
КТ8144Б|n-p-n|175* Вт|>=5|600|8|25 А (40* А)|1 мА (600 В)|>=4* (5 В; 20 А)|-|<=0,25|-|<=2,5* мкс
КТ8145А|n-p-n|100* Вт|>=10|700|8|15 А (20* А)|<=5 мА (700 В)|>=10* (1 В; 5 А)|-|<=0,2|-|1,7* мкс
КТ8145Б|n-p-n|100* Вт|>=10|500|8|15 А (20* А)|<=5 мА (500 В)|>=10* (1 В; 5 А)|-|<=0,2|-|1,7* мкс
КТ8146А|n-p-n|150* Вт|>=5|800|8|15 А (25* А)|<=1 мА (800 В)|>=5* (5 В; 15 А)|-|<=0,15|-|1,7* мкс
КТ8146Б|n-p-n|150* Вт|>=5|600|8|15 А (25* А)|<=1 мА (600 В)|>=5* (5 В; 15 А)|-|<=0,15|-|1,7* мкс
КТ8147А|n-p-n|100* Вт|>=5|700|8|10 А (20* А)|<=1 мА (700 В)|>=5* (1,5 В; 8 А)|-|<=0,2|-|1,7* мкс
КТ8147Б|n-p-n|100* Вт|>=5|500|8|10 А (20* А)|<=1 мА (500 В)|>=5* (1,5 В; 8 А)|-|<=0,2|-|1,7* мкс
КТ8149А|p-n-p|115* Вт|>=4|70; 60**|7|15 А; 30* А|<=1 мА (70 В)|20...150* (4 В; 4 А)|-|<=0,27|-|-
КТ8149А-1|p-n-p|90* Вт|>=3|70; 60**|7|15 А; 30* А|<=1 мА (70 В)|20...150* (4 В; 4 А)|-|<=0,27|-|-
КТ8149А-2|p-n-p|75* Вт|>=3|70; 60**|7|10 А; 15* А|<=1 мА (70 В)|20...100* (4 В; 4 А)|-|<=0,27|-|-
КТ8150А|n-p-n|115* Вт|>=4|70; 60**|7|15 А; 30* А|<=1 мА (70 В)|20...150* (4 В; 4 А)|-|<=0,27|-|-
КТ8150А-1|n-p-n|90* Вт|>=3|70; 60**|7|15 А; 30* А|<=1 мА (70 В)|20...150* (4 В; 4 А)|-|<=0,27|-|-
КТ8150А-2|n-p-n|75* Вт|>=3|70; 60**|7|10 А; 15* А|<=1 мА (70 В)|20...100* (4 В; 4 А)|-|<=0,27|-|-
КТ8154А|n-p-n|175* Вт|>=5|600; 450**|8|30 А; 60* А|<=1 мА (600 В)|-|-|-|-|1700*
КТ8154Б|n-p-n|175* Вт|>=5|500; 400**|8|30 А; 60* А|<=1 мА (500 В)|-|-|-|-|1700*
КТ8155А|n-p-n|175* Вт|>=5|600; 450**|8|50 А; 80* А|<=2 мА (600 В)|-|-|-|-|-
КТ8155Б|n-p-n|175* Вт|>=5|500; 400**|8|50 А; 80* А|<=2 мА (500 В)|-|-|-|-|-
КТ8156А|n-p-n|60* Вт|-|330; 150**|6|8 А|-|-|-|-|-|-
КТ8156Б|n-p-n|60* Вт|-|200**|6|8 А|-|-|-|-|-|-
КТ8157А|n-p-n|150* Вт|>=5|1500|7|10 А (15* А)|3 мА (1500 В)|>=8* (5 В; 1 А)|-|<=0,12|-|2* мкс
КТ8157Б|n-p-n|150* Вт|>=5|1500|7|10 А (15* А)|3 мА (1500 В)|>=8* (5 В; 1 А)|-|<=0,25|-|2* мкс
КТ8158А|n-p-n|125* Вт|-|60|5|12 А|<=400 (60 В)|2500|-|-|-|-
КТ8158Б|n-p-n|125* Вт|-|80|5|12 А|<=400 (80 В)|2500|-|-|-|-
КТ8158В|n-p-n|125* Вт|-|100|5|12 А|<=400 (100 В)|2500|-|-|-|-
КТ8159А|p-n-p|125* Вт|-|60|5|12 А|<=400 (60 В)|2500|-|-|-|-
КТ8159Б|p-n-p|125* Вт|-|80|5|12 А|<=400 (80 В)|2500|-|-|-|-
КТ8159В|p-n-p|125* Вт|-|100|5|12 А|<=400 (100 В)|2500|-|-|-|-
